ID,TITLE,PRICE,IMAGE
55,100% LINEN SHIRT,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
56,100% LINEN SHIRT,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
57,100% LINEN SHIRT,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
58,TWO-STRAP SLIDERS,29.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
59,CRISS-CROSS SANDALS,29.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
60,GEOMETRIC MINI CROSSBODY BAG,29.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
61,BRAIDED CROSSOVER SANDALS,39.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
62,BRIKO® T-SHIRT,25.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
63,WATER-REPELLENT TECHNICAL TROUSERS,59.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
64,WATER-REPELLENT UTILITY JACKET,89.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
65,BRIKO® T-SHIRT,25.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
66,WATER-REPELLENT UTILITY JACKET,89.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
67,BRIKO® T-SHIRT,25.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
68,BRIKO® CYCLING HELMET,89.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
69,WATER-REPELLENT CARGO BERMUDA SHORTS,49.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
70,BRIKO® SUNGLASSES,59.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
71,BRIKO® SUNGLASSES,59.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
72,BRIKO® SUNGLASSES,59.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
73,BRIKO® SUNGLASSES,59.95 EUR,https://static.zara.net/stdstatic/6.3.0/images/transparent-background.png
